"WY","Q"
1932,21.38
1933,16.57
1934,52.1
1935,33.7
1936,46.44
1937,34.55
1938,56.92
1939,35.96
1940,30.02
1941,60.03
1942,18.18
1943,65.13
1944,24.18
1945,24.18
1946,62.86
1947,28.32
1948,30.58
1949,61.45
1950,59.18
1951,44.46
1952,34.83
1953,49.84
1954,31.15
1955,24.92
1956,37.38
1957,60.6
1958,23.45
1959,36.53
1960,20.5
1961,31.15
1962,40.78
1963,29.73
1964,19.99
1965,10.59
1966,12.29
1967,3.43
1968,47.01
1969,22.68
1970,16.93
1971,33.13
1972,52.39
1973,61.45
1974,61.45
1975,41.63
1976,86.08
1977,31.71
1978,22.54
1979,47.01
1980,88.35
1981,33.98
1982,23.9
1983,37.66
1984,33.98
1985,64.56
1986,28.12
1987,16.34
1988,21.44
1989,21.01
1990,63.71
1991,42.48
1992,14.55
1993,45.31
1994,25.17
1995,46.16
1996,26.96
1997,155.74
1998,35.11
1999,27.95
2000,4.93
2001,48.7
2002,23.22
2003,7.31
2004,119.5
2005,52.39
2006,26.33
2007,27.41
2008,17.16
2009,28.2
2010,33.7
2011,11.47
2012,39.93
2013,48.7
2014,44.74
2015,44.46
